colours_hex,colours_name,pretrain_order,posttrain_order,reward_condition,condition_idx
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,dotmotion-update,dotmotion-update,performance,50
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,dotmotion-update,dotmotion-update,neutral,51
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,dotmotion-update,update-dotmotion,effort,52
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,dotmotion-update,update-dotmotion,performance,53
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,dotmotion-update,update-dotmotion,neutral,54
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,update-dotmotion,dotmotion-update,effort,55
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,update-dotmotion,dotmotion-update,performance,56
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,update-dotmotion,dotmotion-update,neutral,57
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,update-dotmotion,update-dotmotion,effort,58
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,update-dotmotion,update-dotmotion,performance,59
#6DA34D-#D00000-#3772FF-#FF9505,green-red-blue-orange,update-dotmotion,update-dotmotion,neutral,60
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,dotmotion-update,effort,61
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,dotmotion-update,performance,62
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,dotmotion-update,neutral,63
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,update-dotmotion,effort,64
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,update-dotmotion,performance,65
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,update-dotmotion,neutral,66
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,dotmotion-update,effort,67
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,dotmotion-update,performance,68
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,dotmotion-update,neutral,69
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,update-dotmotion,effort,70
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,update-dotmotion,performance,71
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,update-dotmotion,neutral,72
