qNo,question,scale
gritQ1R,I often set a goal but later choose to pursue a different one.,consistentInterest
gritQ2R,New ideas and projects sometimes distract me from previous ones.,consistentInterest
gritQ3R,I have been obsessed with a certain idea or project for a short time but later lost interest.,consistentInterest
gritQ4R,I have difficulty maintaining my focus on projects that take more than a few months to complete.,consistentInterest
gritQ5,I finish whatever I begin.,persevereEffort
gritQ6,Setbacks don't discourage me.,persevereEffort
gritQ7,I am diligent.,persevereEffort
gritQ8,I am a hard worker.,persevereEffort
