colours_hex,colours_name,pretrain_order,posttrain_order,reward_condition
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,dotmotion-update,1
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,update-dotmotion,1
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,dotmotion-update,1
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,update-dotmotion,1
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,dotmotion-update,2
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,update-dotmotion,2
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,dotmotion-update,2
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,update-dotmotion,2
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,dotmotion-update,3
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,dotmotion-update,update-dotmotion,3
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,dotmotion-update,3
#FF9505-#D00000-#3772FF-#6DA34D,orange-red-blue-green,update-dotmotion,update-dotmotion,3
