q,desc,subscale,reverse
1,The negative consequences of economic inequality have been largely exaggerated.,support_inequality,0
2,Economic inequality is causing many of the world’s problems.,support_inequality,1
3,I am very disturbed by the amount of economic inequality in the world today.,support_inequality,1
4,Economic inequality is not a problem.,support_inequality,0
5,We need to do everything possible to reduce economic inequality in the world today.,support_inequality,1
