q,desc,subscale,reverse
1,Almost all of the money that is earned goes to only a few people.,inequality,0
2,"Besides those at the very top, no one else has much money at all.",inequality,0
3,Real opportunities to succeed in life are only available to the wealthy.,inequality,0
4,Only those at the top own any wealth at all.,inequality,0
5,It is extremely unfair if the overall amount of economic inequality is very high.,unfairness,0
6,It is not fair at all if there are large differences in income between the rich and poor.,unfairness,0
7,It is immoral if your income is dependent on where you grew up.,unfairness,0
8,It is extremely unjust if children of affluent parents get a better education.,unfairness,0
